Modelo de Item,Código Oracle,Tipo de Item
i80s,N2087APRU,Equipo
i90c,N2064APRU,Equipo
i700+ B,H29UAH6RR5AN,Equipo
r470,H13UAH6RR7BF-01,Equipo
i2000,H35UAH9JR7AN,Equipo
i500+,H27UAH6RR5AN-01,Equipo
i1000+,H26UAH6RR7AN- DKIT,Equipo
i2000plus,N2059APRU,Equipo
i85s,N2060APRU,Equipo
i30sx,N2122APRU,Equipo
i550+,N2167APRU,Equipo
i1000+ref,N2170APRU,Equipo
i90c,N2173APRU,Equipo
i30sx,N2182APRU,Equipo
i60c,N2153APRU,Equipo
i600,H15UAH6RR7BN-01,Equipo
i1000,H08UAH6RR7AN,Equipo
c370,H1648A,Equipo
r470,H13UAH6RR7BF,Equipo
i1000+,H26UAH6RR7AN,Equipo
i500+,H27UAH6RR5AN,Equipo
r750 plus,N2045APRU,Equipo
i550+,N2042APRU,Equipo
i1000+ref,N2094APRU,Equipo
i85s,N2171APRU,Equipo
i60c,N2183APRU,Equipo
i30Silver,NUF3744A,Equipo
i600,H15UAH6RR7BN,Equipo
m370,M12UCH6RR6AN,Equipo
i700+ Y,N2015A,Equipo
i95cl,N2140APRU,Equipo
i1000,H08UAH6RR7AN,Equipo
r470,H13UAH6RR7BF,Equipo
r470,H13UAH6RR7BF-01,Equipo
i600,H154AH6RR7BN-01,Equipo
i600,H15UAH6RR7BN,Equipo
i600,H15UAH6RR7BN-01,Equipo
c370,H1648A,Equipo
i1000+,H26UAH6RR7AN,Equipo
i1000+,H26UAH6RR7AN- DKIT,Equipo
i500+,H27UAH6RR5AN,Equipo
i500+,H27UAH6RR5AN-01,Equipo
i700+ B,H29UAH6RR5AN,Equipo
i2000,H35UAH9JR7AN,Equipo
m370,M12UCH6RR6AN,Equipo
i700+ Y,N2015A,Equipo
i550+,N2042APRU,Equipo
r750 plus,N2045APRU,Equipo
i2000plus,N2059APRU,Equipo
i85s,N2060APRU,Equipo
i90c,N2064APRU,Equipo
i80s,N2087APRU,Equipo
i1000+ref,N2094APRU,Equipo
i30sx,N2122APRU,Equipo
i95cl,N2140APRU,Equipo
i60c,N2153APRU,Equipo
i550+,N2167APRU,Equipo
i1000+ref,N2170APRU,Equipo
i85s,N2171APRU,Equipo
i90c,N2173APRU,Equipo
i30sx,N2182APRU,Equipo
i60c,N2183APRU,Equipo
i205,N2217APRU,Equipo
i730,N2223APRU,Equipo
i205,N2248APRU,Equipo
i30Silver,NUF3744A,Equipo
i530,N2235APRU,Equipo
i730,N2267APRU,Equipo
i205,N2266APRU,Equipo
i830,N2212APRU,Equipo
i830,N2312APRU,Equipo
i205,N2274APRU,Equipo
i95cl,N2140APRUREF,Equipo
i550+,N2167APRUREF,Equipo
i85s,N2171APRUREF,Equipo
i90c,N2173APRUREF,Equipo
i60c,N2183APRUREF,Equipo
i710,N2332APRU,Equipo
i85s,N2121APRU,Equipo
i205,N2217APRUREF,Equipo
i205,N2248APRUNWA,Equipo
i530,N2322APRU - Q109BW,Equipo
i730,N2323APRU - Q109CB,Equipo
i60c,N2153APRUNWA,Equipo
i833,N2317APRU,Equipo
i550+,N2167APRUPE,Equipo
i605,I605 N2320APRU,Equipo
i850,I850 N2377APRU,Equipo
i605,N2320APRU,Equipo
i850,N2377APRU,Equipo
i870,N2379APRU,Equipo
i275,N2389APRU,Equipo
i605,N2291APRU,Equipo
i830,N2296APRU,Equipo
c115,MOTOROLA C115,Equipo
i560black,N2378APRU,Equipo
7100,PRD-08960-008,Equipo
i325,N2367AGEN,Equipo
i760,N2376APRU,Equipo
i530,N2322APRUREF,Equipo
i833cl,N2513AGEN,Equipo
